Keyword,Count,Percentage
"leg symptoms",1,0.01
"disk herniation",1,0.01
"re-assessment",1,0.01
"undersurface",1,0.01
"transcript",1,0.01
"referenced by a decision-maker",1,0.01
"significant defect",1,0.01
"co-worker spouse",1,0.01
"stairwell",1,0.01
"pre-existing condition affecting the worker",1,0.01
"muscle atrophy",1,0.01
"entry hourly wage",1,0.01
"termination pay",1,0.01
"pay in lieu",1,0.01
"tibia-fibula fracture",1,0.01
"tib-fib",1,0.01
"healing",1,0.01
"employer s request for reconsideration",1,0.01
"window sill",1,0.01
"full thickness",1,0.01
"hinge",1,0.01
"damage to the gate",1,0.01
"design",1,0.01
"swing gate",1,0.01
"gates",1,0.01
"multidisciplinary",1,0.01
"academic upgrade",1,0.01
"gastric ulcer",1,0.01
"fentanyl",1,0.01
"pre-recurrence long-term average earnings",1,0.01
"pre-injury long-term",1,0.01
"prednisone",1,0.01
"bone density loss",1,0.01
"employer s industry",1,0.01
"silos",1,0.01
"otherwise than for the purposes",1,0.01
"worker s left hip",1,0.01
"bone graft",1,0.01
"picnic tables",1,0.01
"sudden cardiac death",1,0.01
"humid",1,0.01
"methotrexate",1,0.01
"fume hood",1,0.01
"glass sash",1,0.01
"platelet rich plasma injections",1,0.01
"entitled to an increase",1,0.01
"operating area",1,0.01
"organizational level",1,0.01
"rib injury",1,0.01
"chiropodist",1,0.01
"custom made orthotics",1,0.01
"urinary bladder condition",1,0.01
"notes indicated that the worker",1,0.01
"clinical notes indicated",1,0.01
"worker s actual earnings",1,0.01
"pilots",1,0.01
"geophysical",1,0.01
"aerial",1,0.01
"data",1,0.01
"testing",1,0.01
"air conduction values",1,0.01
"tramadol",1,0.01
"occupational health nurse",1,0.01
"worker s treating physicians",1,0.01
"exposure to respirable dust",1,0.01
"exposure to manganese",1,0.01
"thoracotomy with decortication",1,0.01
"hypokalemia",1,0.01
"supraspinatus tendinopathy",1,0.01
"tibial",1,0.01
"worker s pre-existing conditions",1,0.01
"psychosocial stressors",1,0.01
"worker s regular duties",1,0.01
"cervical strain",1,0.01
"blank",1,0.01
"rating for the pre-existing condition",1,0.01
"body",1,0.01
"area",1,0.01
"retail store manager",1,0.01
"self-directed job",1,0.01
"bedroll",1,0.01
"tumbler",1,0.01
"entitlement for multiple staphylococcus folliculitis",1,0.01
"furunculosis as compensable workplace injuries",1,0.01
"cuts",1,0.01
"personal protective equipment",1,0.01
"three-week delay in filing",1,0.01
"prejudiced by the three-week delay",1,0.01
"back-up home generator",1,0.01
"installed",1,0.01
"outage",1,0.01
"treating health care providers",1,0.01
"remain off work completely",1,0.01
"coccyx pain",1,0.01
"lines",1,0.01
"joint dysfunction",1,0.01
"roster physician",1,0.01
"six-month time frame",1,0.01
"lésions indemnisables",1,0.01
"mailroom",1,0.01
"smaller annular tear",1,0.01
"platinum",1,0.01
"steel mill",1,0.01
"asbestos siding",1,0.01
"primes",1,0.01
"rajustement",1,0.01
"cricket",1,0.01
"worker s exposures",1,0.01
"underground",1,0.01
"non-medical socio-economic factors",1,0.01
"coil",1,0.01
"traumatic intracranial hemorrhage",1,0.01
"subdural hematoma",1,0.01
"seizure like episode",1,0.01
"amended by deleting",1,0.01
"grip pinch strength",1,0.01
"call bell cord",1,0.01
"prior compensable",1,0.01
"distal",1,0.01
"thin skull doctrine",1,0.01
"chronic retinal detachment",1,0.01
"swarf",1,0.01
"lumbar disc herniation",1,0.01
"landing",1,0.01
"reasons",1,0.01
"lex loci delicti rule",1,0.01
"page",1,0.01
"deletions",1,0.01
"sentence",1,0.01
"sacrum",1,0.01
"crash truck",1,0.01
"implicitly",1,0.01
"cafeteria",1,0.01
"liable to pay",1,0.01
"prohibited from suing",1,0.01
"assisting occupations in support",1,0.01
"aka",1,0.01
"escalated",1,0.01
"plica",1,0.01
"medial patellar cartilage fissure",1,0.01
"school board",1,0.01
"lawn",1,0.01
"indemnisable au bas du dos",1,0.01
"worker s pleural plaques",1,0.01
"motion for the lumbar spine",1,0.01
"classified",1,0.01
"homebuilding",1,0.01
"ability to earn updated entry-level",1,0.01
"earn updated entry-level wages",1,0.01
"wage rate",1,0.01
"gall bladder",1,0.01
"worker was hired",1,0.01
"date he secured full-time employment",1,0.01
"arm injury",1,0.01
"disposition",1,0.01
"neuromas",1,0.01
"satisfied that the proposed resolution",1,0.01
"sedentary elemental service occupation",1,0.01
"abuse in the workplace",1,0.01
"cubital tunnel syndrome ulnar neuropathy",1,0.01
"constitute re-argument",1,0.01
"fluorescent lighting",1,0.01
"photosensitivity",1,0.01
"bulges",1,0.01
"dissecting aneurysm",1,0.01
"femoral artery",1,0.01
"approximate her pre-accident earnings",1,0.01
"cannabis clinic",1,0.01
"élève",1,0.01
"chips",1,0.01
"truckers",1,0.01
"auditor",1,0.01
"min wk",1,0.01
"wheelchair accessible",1,0.01
"re-streaming",1,0.01
"surgical rating",1,0.01
"interrelated",1,0.01
"caused the worker s mesothelioma",1,0.01
"police force",1,0.01
"light assembly",1,0.01
"psychovocational",1,0.01
"rating schedules",1,0.01
"chemonucleolysis",1,0.01
"tour guide",1,0.01
"travel to work",1,0.01
"forty-hour work",1,0.01
"passengers",1,0.01
"public domain",1,0.01
"admissibility",1,0.01
"disciplinary",1,0.01
"formal appointment",1,0.01
"barrier",1,0.01
"ability to earn the entry-level",1,0.01
"malignant spindle cell neoplasm",1,0.01
"sarcomatoid",1,0.01
"cigarette smoking",1,0.01
"production bonus",1,0.01
"bilateral custom orthotics",1,0.01
"worker s bilateral plantar fasciitis",1,0.01
"seasonal layoff",1,0.01
"moldy",1,0.01
"noise exposure level",1,0.01
"loss-of-earnings benefit",1,0.01
"self-directed medical",1,0.01
"noise-induced",1,0.01
"worker s benefits",1,0.01
"drive-thru window",1,0.01
"headset",1,0.01
"able to work full-time",1,0.01
"ligamentous laxity",1,0.01
"annular tear small disc protrusion",1,0.01
"measurement",1,0.01
"co-operating in the worker",1,0.01
"sorter",1,0.01
"discopathie dégénérative",1,0.01
"entitlement for bilateral carpal tunnel",1,0.01
"sawzall",1,0.01
"taper",1,0.01
"drywaller",1,0.01
"unfilled pillow",1,0.01
"toolbox",1,0.01
"wheels",1,0.01
"osseointegration surgery",1,0.01
"prosthetic",1,0.01
"socket",1,0.01
"worker s death",1,0.01
"oxycodone",1,0.01
"entitlement to survivor s benefits",1,0.01
"loss consistent with noise-induced sensorineural",1,0.01
"worker withdraws all other aspects",1,0.01
"undisplaced",1,0.01
"atonic bladder",1,0.01
"traumatisme crânien",1,0.01
"cogné la tête",1,0.01
"déchirure du tendon sus-épineux",1,0.01
"interested",1,0.01
"brought",1,0.01
"short-term disability benefits",1,0.01
"drops",1,0.01
"cholangiocarcinoma",1,0.01
"evaluation",1,0.01
"refereeing",1,0.01
"discophytes",1,0.01
"enduring",1,0.01
"pharmacotherapy",1,0.01
"unprepared to proceed",1,0.01
"attribuable à un traumatisme psychique",1,0.01
"alopecia",1,0.01
"synovitis",1,0.01
"skating",1,0.01
"patinoire",1,0.01
"chip fracture",1,0.01
"divisor",1,0.01
"walk-in bathtub",1,0.01
"urinary tract",1,0.01
"prostatitis",1,0.01
"based upon her ability",1,0.01
"rapid acceleration vibratory tools",1,0.01
"miner",1,0.01
"worker s employment",1,0.01
"jackleg",1,0.01
"continuous employment on high frequency",1,0.01
"usual healing time",1,0.01
"vertebra",1,0.01
"welding screens",1,0.01
"return to regular duties",1,0.01
"rural",1,0.01
"music festival",1,0.01
"security",1,0.01
"turkey hunting license",1,0.01
"non-compensable intervening event",1,0.01
"worker s pre-existing degenerative condition",1,0.01
"guardshack",1,0.01
"rectus diastasis",1,0.01
"worker s neck pain",1,0.01
"lordosis",1,0.01
"degenerative disc disease with radiculopathy",1,0.01
"pre-existing condition was major",1,0.01
"worker s permanent impairment",1,0.01
"claiming entitlement to full benefits",1,0.01
"pre-existing cervical degenerative disc disease",1,0.01
"région lombaire",1,0.01
"dental entitlement",1,0.01
"community acquired pneumonia",1,0.01
"entitlement for degenerative changes",1,0.01
"significant contribution to the worker",1,0.01
"personality",1,0.01
"worker s asthma",1,0.01
"worker s low back condition",1,0.01
"calls",1,0.01
"pre-existing psychological difficulties",1,0.01
"call",1,0.01
"employment on a pre-existing degenerative",1,0.01
"benefits for a non-organic injury",1,0.01
"full thickness supraspinatus tendon tear",1,0.01
"frostbite",1,0.01
"tuberosity",1,0.01
"demeanor",1,0.01
"claimed recurrence",1,0.01
"spinal canal stenosis",1,0.01
"worker s cognitive",1,0.01
"elections",1,0.01
"demeanour",1,0.01
"gastrocnemius musculotendinous junction partial tear",1,0.01
"cast saws",1,0.01
"worker s stress-induced cardiomyopathy",1,0.01
"carrying on business in construction",1,0.01
"worker s neck",1,0.01
"included in the case materials",1,0.01
"benefits for dorsal extensor tenosynovitis",1,0.01
"distal humerus fracture",1,0.01
"exposure to mould",1,0.01
"histoplasmic",1,0.01
"worker s left index finger",1,0.01
"abrasion",1,0.01
"index finger cellulitis was work-related",1,0.01
"pre-existing wrist condition",1,0.01
"radiocarpal strain",1,0.01
"dominant hand retraining",1,0.01
"glove sorter job",1,0.01
"worker withdraws all aspects",1,0.01
"involving the co-worker",1,0.01
"urban planning",1,0.01
"entry",1,0.01
"earn minimum wage working",1,0.01
"occupations",1,0.01
"mild degenerative disc disease",1,0.01
"spinal compression fractures",1,0.01
"dorsal spine",1,0.01
"uticaria",1,0.01
"paracentral disc protrusion",1,0.01
"anterior talofibular ligament",1,0.01
"allergic",1,0.01
"hives",1,0.01
"fire-proofing",1,0.01
"physical distancing",1,0.01
"health",1,0.01
"customer",1,0.01
"inventory checker counter",1,0.01
"blades",1,0.01
"onwards",1,0.01
"kidney disease",1,0.01
"hemodialysis",1,0.01
"creatinine",1,0.01
"worker s right elbow",1,0.01
"supination",1,0.01
"pronation",1,0.01
"worker s actual",1,0.01
"worker was working fewer hours",1,0.01
"return to her pre-accident state",1,0.01
"direct-entry suitable occupation available",1,0.01
"pension for the right hip",1,0.01
"baccalauréat technologique",1,0.01
"fournisseuse",1,0.01
"modified work on a part-time",1,0.01
"modified kitting duties",1,0.01
"counting",1,0.01
"navicular",1,0.01
"occupational rhinitis",1,0.01
"allergic rhinitis",1,0.01
"patch",1,0.01
"work-related injury illness",1,0.01
"cluster fly",1,0.01
"drop foot",1,0.01
"work reintegration services",1,0.01
"debilitating pain",1,0.01
"primary biliary cirrhosis",1,0.01
"dry cleaning",1,0.01
"perchloroethylene",1,0.01
"sheet metal worker",1,0.01
"nitrogen tanks",1,0.01
"truck driver instructor",1,0.01
"joint arthropathy significant spinal stenosis",1,0.01
"worker s neck symptoms",1,0.01
"physiotherapy treatment for the period",1,0.01
"lex loci delicti",1,0.01
"required to perform his employment",1,0.01
"microangiopathie ou vasculopathie",1,0.01
"gelures",1,0.01
"extrusion",1,0.01
"os calcis",1,0.01
"net average weekly pre-injury earnings",1,0.01
"owner",1,0.01
"executive",1,0.01
"combined",1,0.01
"prescribed medical marijuana",1,0.01
"non-expert opinion evidence",1,0.01
"affidavit",1,0.01
"deemed withdrawn",1,0.01
"steps he is proposing",1,0.01
"cerebellar ataxia",1,0.01
"nystagmus",1,0.01
"gastrointestinal cancer",1,0.01
"furnaces",1,0.01
"worker s representative then explained",1,0.01
"ratchet",1,0.01
"worker s work duties",1,0.01
"accès",1,0.01
"drugs",1,0.01
"trialed",1,0.01
"entitlement for the disc herniation",1,0.01
"air ride",1,0.01
"inextricably inter-related",1,0.01
"dietary assistant job",1,0.01
"rhinosinusitis",1,0.01
"cognitive behavioural therapy",1,0.01
"bender machine",1,0.01
"alcohol dependence",1,0.01
"feeling unwell",1,0.01
"fall on ice",1,0.01
"discogenic low back pain",1,0.01
"arm deformity",1,0.01
"escort fees",1,0.01
"drain",1,0.01
"self-directed vocational rehabilitation",1,0.01
"benefits from the date",1,0.01
"hallucinations",1,0.01
"bleach",1,0.01
"term earnings basis",1,0.01
"pre-existing spondylosis",1,0.01
"massive rotator cuff tear",1,0.01
"pre-existing varicose veins",1,0.01
"vascular surgeon",1,0.01
"venous insufficiency",1,0.01
"stockings",1,0.01
"satellite dish",1,0.01
"colostomy",1,0.01
"peri-stomal",1,0.01
"driver loader",1,0.01
"proof",1,0.01
"onus",1,0.01
"bears the burden",1,0.01
"proving",1,0.01
"attend physiotherapy",1,0.01
"two-year period",1,0.01
"congestive heart",1,0.01
"pleural plaques significantly contributed",1,0.01
"catch basin",1,0.01
"entitlement for the right wrist",1,0.01
"data entry clerk",1,0.01
"gauntlet brace",1,0.01
"basement",1,0.01
"main floor",1,0.01
"space",1,0.01
"hammersmith",1,0.01
"brake pads",1,0.01
"autoscrubber",1,0.01
"recover his pre-injury earnings",1,0.01
"episode",1,0.01
"speech",1,0.01
"ambulance",1,0.01
"modified job duties",1,0.01
"supraspinatus tendon tear",1,0.01
"cartilage loss",1,0.01
"occupational exposure to noise",1,0.01
"worker suffers a significant deterioration",1,0.01
"object that struck the worker",1,0.01
"robber",1,0.01
"dusting",1,0.01
"traffic controller",1,0.01
"migraine condition",1,0.01
"stationnement des sous-traitants",1,0.01
"contractor parking lot",1,0.01
"aire",1,0.01
"lens implant",1,0.01
"iris surgery",1,0.01
"depression became manifest",1,0.01
"voice mail",1,0.01
"right-sided visual",1,0.01
"hernies discales",1,0.01
"mental stress provisions",1,0.01
"wording",1,0.01
"trimming",1,0.01
"trees",1,0.01
"return to her pre-injury job",1,0.01
"power tools",1,0.01
"gunpoint",1,0.01
"independent operators",1,0.01
"tracking",1,0.01
"bilateral upper extremities",1,0.01
"metal-on-metal implant",1,0.01
"elbow tendinitis",1,0.01
"wrapped",1,0.01
"exertional compartment syndrome",1,0.01
"auto body repairer",1,0.01
"trailer hitch",1,0.01
"wave machine",1,0.01
"uninjured",1,0.01
"medical examiners",1,0.01
"regular",1,0.01
"posterior inferior",1,0.01
"skull",1,0.01
"pre-existing arthritis",1,0.01
"paranoid psychosis",1,0.01
"hydrocele",1,0.01
"discitis",1,0.01
"contractors",1,0.01
"pushing",1,0.01
"reconsideration on its own motion",1,0.01
"request for an re-assessment",1,0.01
"sirens",1,0.01
"liftgate",1,0.01
"bilateral shoulder calcific tendonitis",1,0.01
"synovial cyst",1,0.01
"unspool",1,0.01
"wear bullet-proof vests",1,0.01
"entitled to benefits for chronic",1,0.01
"apathy",1,0.01
"aisle",1,0.01
"glazier",1,0.01
"glass",1,0.01
"entitlement for the recognition",1,0.01
"vascular risk factors",1,0.01
"restoration",1,0.01
"ventral hernia",1,0.01
"enterocutaneous fistula with skin necrosis",1,0.01
"injury decision denied the worker",1,0.01
"ring trigger finger as causally",1,0.01
"accident indemnisable",1,0.01
"cervical thoracic lumbar spine",1,0.01
"long-term rate",1,0.01
"time period under consideration",1,0.01
"substantial connection to the province",1,0.01
"scanner",1,0.01
"traps",1,0.01
"retire",1,0.01
"prior menisci damage identified",1,0.01
"acute aggravation",1,0.01
"entitlement to a recalculation",1,0.01
"related to the pleural plaques",1,0.01
"truck dispatcher",1,0.01
"operating",1,0.01
"work-related pain",1,0.01
"post lock-in",1,0.01
"spinal fusion surgery",1,0.01
"non-earning period",1,0.01
"shop helper",1,0.01
"playing hopscotch",1,0.01
"text",1,0.01
"pending",1,0.01
"ligament loss",1,0.01
"pay stub information",1,0.01
"hexavalent chromium",1,0.01
"talonavicular osteoarthritis",1,0.01
"fibers cc",1,0.01
"ear cochlear implant surgery",1,0.01
"garbage bags",1,0.01
"factory",1,0.01
"business college",1,0.01
"re-employ the worker",1,0.01
"somatoform pain disorder",1,0.01
"airbags",1,0.01
"tricompartment osteoarthritis",1,0.01
"deny any work-related permanent impairment",1,0.01
"faxed",1,0.01
"thighs",1,0.01
"stores keeper",1,0.01
"causally linked",1,0.01
"videoconference hearing format",1,0.01
"toxicology report",1,0.01
"pilot escort",1,0.01
"seasonal lay-offs",1,0.01
"video conference",1,0.01
"necessitate an in-person",1,0.01
"adjourned",1,0.01
"approximate her pre-accident",1,0.01
"work-related right ankle injuries",1,0.01
"palette",1,0.01
"recurrent ventral hernia",1,0.01
"surgeon",1,0.01
"non-organic impairment",1,0.01
"divisible injury",1,0.01
"pre-dated its release",1,0.01
"transverse arches",1,0.01
"regular work",1,0.01
"return to his pre-injury job",1,0.01
"heavy lifting",1,0.01
"cerebellar stroke",1,0.01
"arterial dissection",1,0.01
"redundant interatrial septum",1,0.01
"nursing coordinator",1,0.01
"vacuum",1,0.01
"mastoidectomy",1,0.01
"questions",1,0.01
"changed to the following",1,0.01
"blood sugars",1,0.01
"glycemic",1,0.01
"job postings",1,0.01
"failed back syndrome",1,0.01
"boot clips",1,0.01
"pipefitter plumber",1,0.01
"entitlement to disability benefits",1,0.01
"marine engineer",1,0.01
"ulcers",1,0.01
"shoplifter",1,0.01
"spinner knob",1,0.01
"mittens",1,0.01
"aggravated her underlying osteoarthritic condition",1,0.01
"basal",1,0.01
"work full-time hours",1,0.01
"employable",1,0.01
"language ability",1,0.01
"vertebral body height",1,0.01
"temporary total",1,0.01
"inconsistent with organic findings",1,0.01
"gas pumps",1,0.01
"multidisciplinary pain",1,0.01
"patrol",1,0.01
"utility belt",1,0.01
"part-time schedule",1,0.01
"congenitally narrow spinal canal",1,0.01
"reintegration",1,0.01
"rail",1,0.01
"exposure to silica dust",1,0.01
"recommissioning",1,0.01
"exposure to airborne silica",1,0.01
"flatbed",1,0.01
"trigger thumb on a disablement",1,0.01
"thumb condition",1,0.01
"scaphotrapezial",1,0.01
"distal interphalangeal joints",1,0.01
"lésion au bas du dos",1,0.01
"part-time bartender",1,0.01
"regular job duties",1,0.01
"ischemic stroke",1,0.01
"elemental occupation",1,0.01
"medial femoral condyle chondromalacia",1,0.01
"condition arising from his work-related",1,0.01
"maxi brake",1,0.01
"buyout package",1,0.01
"immediate cause",1,0.01
"double vision symptoms",1,0.01
"auxiliaire juridique",1,0.01
"inner part",1,0.01
"permanent low back impairment",1,0.01
"determinations",1,0.01
"co-operation",1,0.01
"sequencing",1,0.01
"hard count room",1,0.01
"worker had full functional abilities",1,0.01
"abrasion contusion",1,0.01
"overnight shift",1,0.01
"engine kit tugger",1,0.01
"non-compensable health",1,0.01
"joint osteoarthritis",1,0.01
"marijuana to treat the worker",1,0.01
"heat pad",1,0.01
"plantar branch",1,0.01
"scapular",1,0.01
"quiz builder",1,0.01
"on-call driver",1,0.01
"ancillary workers",1,0.01
"quarry",1,0.01
"automotive parts manufacturer",1,0.01
"hangers",1,0.01
"question is no longer required",1,0.01
"moot",1,0.01
"shoulder arthroplasty",1,0.01
"right-sided epicondylitis",1,0.01
"strapping",1,0.01
"guardshack duties",1,0.01
"de-gloving",1,0.01
"breathing",1,0.01
"automotive inventory clerk",1,0.01
"grade",1,0.01
"sedentary physical demands level",1,0.01
"significant symptomatic pre-accident medical conditions",1,0.01
"hour ambulatory blood pressure monitor",1,0.01
"wax",1,0.01
"cervical disc herniation",1,0.01
"scoop truck",1,0.01
"anonymization",1,0.01
"long-term average earnings calculation",1,0.01
"narcotic addiction",1,0.01
"oxycontin",1,0.01
"open lung biopsy",1,0.01
"spacer",1,0.01
"osteomalacia",1,0.01
"bacterial infection",1,0.01
"gas bar attendant",1,0.01
"loose body",1,0.01
"requesting for a withdrawal",1,0.01
"slats",1,0.01
"tracks",1,0.01
"berry box",1,0.01
"neural foramina",1,0.01
"reimbursement for massage therapy treatments",1,0.01
"radio-ulnar interosseous ligament damage",1,0.01
"aircraft maintenance engineer",1,0.01
"self-directed work transition",1,0.01
"hospice",1,0.01
"minimum hazardous noise exposure",1,0.01
"dosimetry",1,0.01
"housekeeper",1,0.01
"later than three weeks",1,0.01
"moussing",1,0.01
"swamper",1,0.01
"landfill site",1,0.01
"objective",1,0.01
"equipment salesperson",1,0.01
"compensable low back strain",1,0.01
"facet arthropathy",1,0.01
"net",1,0.01
"welder fitter",1,0.01
"transfer case fell",1,0.01
"told",1,0.01
"coding",1,0.01
"post-accident",1,0.01
"costotransverse junction",1,0.01
"racking",1,0.01
"diagnosed as urticaria pigmentosa",1,0.01
"brake line",1,0.01
"countertop",1,0.01
"crown molding",1,0.01
"meningioma",1,0.01
"increased risk",1,0.01
"leg radiculopathy",1,0.01
"attic",1,0.01
"stacking",1,0.01
"disability benefits should be offset",1,0.01
"disability benefits were awarded",1,0.01
"existing issue agenda",1,0.01
"operating level",1,0.01
"injury as a secondary condition",1,0.01
"axial loading injury",1,0.01
"roof truss",1,0.01
"work-related injury affecting the worker",1,0.01
"personal work-related injury affecting",1,0.01
"duties as a banquet waiter",1,0.01
"receive benefits",1,0.01
"withdraw his claim for benefits",1,0.01
"cold environment",1,0.01
"post-accident condition",1,0.01
"elemental service occupation",1,0.01
"pant leg getting caught",1,0.01
"employment duties",1,0.01
"clerk receptionist",1,0.01
"anxiety-creating situations",1,0.01
"tower crane",1,0.01
"fence",1,0.01
"bilateral knee disability",1,0.01
"disability insurer",1,0.01
"noneconomic loss",1,0.01
"interventional",1,0.01
"subchondral cysts",1,0.01
"subject to any benefit payments",1,0.01
"screw",1,0.01
"licensed producer",1,0.01
"spinal cord compression",1,0.01
"heavy equipment mechanic",1,0.01
"upper extremity condition",1,0.01
"prior to his suspension",1,0.01
"psychological well-being",1,0.01
"wrongful dismissal amongst other things",1,0.01
"workers compensation",1,0.01
"cut",1,0.01
"tanks",1,0.01
"licensing",1,0.01
"total hip arthroplasty",1,0.01
"flamer",1,0.01
"knee revision surgery",1,0.01
"paving",1,0.01
"bridge",1,0.01
"cataract surgery",1,0.01
"rear-loader truck",1,0.01
"widening",1,0.01
"dietary porter",1,0.01
"horse",1,0.01
"brake",1,0.01
"eversion",1,0.01
"plywood",1,0.01
"floor polishers",1,0.01
"vacuum cleaners",1,0.01
"strippers",1,0.01
"septic discitis",1,0.01
"acupuncture treatments",1,0.01
"redaction",1,0.01
"references to the worker",1,0.01
"jugs",1,0.01
"cords",1,0.01
"pre-and post-accident",1,0.01
"mandatorily",1,0.01
"forgets",1,0.01
"arbitrator",1,0.01
"pad",1,0.01
"pelvic organ prolapse",1,0.01
"cumulative dust exposure",1,0.01
"ulnar nerve entrapment",1,0.01
"alcohol abuse",1,0.01
"non-facial disfigurement",1,0.01
"foot blister ulcer cellulitis condition",1,0.01
"worker states",1,0.01
"fatty liver",1,0.01
"stomach",1,0.01
"strenuous",1,0.01
"elastic bands",1,0.01
"squatted",1,0.01
"operate the mast climber",1,0.01
"ancillary services",1,0.01
"diamond driller",1,0.01
"non-compensable medical conditions",1,0.01
"sustainable for the worker",1,0.01
"compensable left hip injury",1,0.01
"scaphoid fracture",1,0.01
"demolition",1,0.01
"prank",1,0.01
"senior co-worker",1,0.01
"peroneal nerve entrapment",1,0.01
"cortical testing",1,0.01
"interjeter",1,0.01
"retard",1,0.01
"cortisone",1,0.01
"sustain the health",1,0.01
"lipodermatosclerosis",1,0.01
"incident to a co-worker",1,0.01
"lung cancer risk",1,0.01
"pre-existing coronary artery disease",1,0.01
"pricing",1,0.01
"bilateral medial",1,0.01
"reconvened hearing is requested",1,0.01
"slab haulers",1,0.01
"dissociative episodes",1,0.01
"psycho-traumatic",1,0.01
"motor vehicle accidents",1,0.01
"groin strain",1,0.01
"tires",1,0.01
"reversal",1,0.01
"summonsed",1,0.01
"doctors",1,0.01
"burler seamer",1,0.01
"includes unoperated herniated nucleus pulposus",1,0.01
"toe fracture",1,0.01
"dresser",1,0.01
"shoulder dislocations",1,0.01
"cervical strain injury",1,0.01
"cervical spondylitic radiculomyelopathy",1,0.01
"trucking company",1,0.01
"purported",1,0.01
"domes",1,0.01
"dome",1,0.01
"topical",1,0.01
"rolling",1,0.01
"assembler",1,0.01
"perform any work",1,0.01
"sedentary-light physical demands level",1,0.01
"undersurface bony spur",1,0.01
"reemerged",1,0.01
"posttraumatic ankle arthritis",1,0.01
"polymyalgia",1,0.01
"pre-existing right knee",1,0.01
"second right knee arthroscopy",1,0.01
"potatoes",1,0.01
"triquetrum avulsion fracture",1,0.01
"adjustable bed",1,0.01
"asthma symptoms",1,0.01
"non-compensable coronary cardiac condition",1,0.01
"assessors noted that the worker",1,0.01
"non-organic impairments",1,0.01
"compensable irritant contact dermatitis",1,0.01
"statements",1,0.01
"self-directed transition plan agreement",1,0.01
"jewellery",1,0.01
"leg sciatica",1,0.01
"flare-up",1,0.01
"duties as a runner loader",1,0.01
"nerve conduction studies",1,0.01
"pre-existing hernia",1,0.01
"processus vaginalis",1,0.01
"ill",1,0.01
"blindness",1,0.01
"president",1,0.01
"secretary",1,0.01
"farming business",1,0.01
"pre-existing disc herniation",1,0.01
"aortic aneurysm",1,0.01
"foot pain",1,0.01
"tarsometatarsal",1,0.01
"horseplay",1,0.01
"lift the gator",1,0.01
"redact references to suggested psychological",1,0.01
"bombement",1,0.01
"opioid dependency",1,0.01
"opiates",1,0.01
"subject to the hazards",1,0.01
"curry",1,0.01
"foot fracture",1,0.01
"veneer",1,0.01
"prisoner",1,0.01
"wear safety shoes",1,0.01
"policy came into effect",1,0.01
"backdate the worker",1,0.01
"measurable pre-existing condition",1,0.01
"concentration",1,0.01
"retired",1,0.01
"strain injuries to his neck",1,0.01
"rotating telehandler",1,0.01
"larking",1,0.01
"concrete",1,0.01
"ankle strain",1,0.01
"needed to self-care",1,0.01
"accounts receivable",1,0.01
"tongue cancer",1,0.01
"plant closure",1,0.01
"ongoing entitlement for left wrist",1,0.01
"based on minimum wage earnings",1,0.01
"grapple skidder",1,0.01
"grocery shopping",1,0.01
"raid",1,0.01
"phenomenon",1,0.01
"cold-induced",1,0.01
"nipple",1,0.01
"abscess",1,0.01
"mastitis",1,0.01
"offset by two-thirds",1,0.01
"pepper spray",1,0.01
"lachrymator",1,0.01
"pants",1,0.01
"chipper grinder refined shapes",1,0.01
"copper refinery",1,0.01
"residuals",1,0.01
"fresheners",1,0.01
"reach truck",1,0.01
"pre-existing calcific tendinosis",1,0.01
"short-term layoff",1,0.01
"graft",1,0.01
"incarceration",1,0.01
"part-time",1,0.01
"hearsay",1,0.01
"benefits for the period",1,0.01
"depressed",1,0.01
"weekly wage",1,0.01
"job as a flooring installer",1,0.01
"bilateral chondromalacia patella",1,0.01
"crewman",1,0.01
"digging",1,0.01
"small left biceps sheath effusion",1,0.01
"solar panels",1,0.01
"draftsman",1,0.01
"peroneal neuropathy",1,0.01
"vasculitis as a secondary condition",1,0.01
"thumb metacarpal",1,0.01
"ability to earn minimum",1,0.01
"minimum wages on a part-time",1,0.01
"lumber yard",1,0.01
"continued",1,0.01
"chronic regional pain syndrome",1,0.01
"hip socket",1,0.01
"bipolar uncemented hemiarthroplasty",1,0.01
"partial benefits based on self-employment",1,0.01
"manifold",1,0.01
"instruments",1,0.01
"non-organic injuries",1,0.01
"entitlement for bilateral shoulder injuries",1,0.01
"partial thickness intrasubstance tear",1,0.01
"proximal patellar tendon",1,0.01
"surviving spouses",1,0.01
"re-enter the workforce",1,0.01
"worker to re-enter the labour",1,0.01
"labour market re-entry assessment",1,0.01
"boss",1,0.01
"orthopaedic footwear with custom orthotics",1,0.01
"fifth toe",1,0.01
"assessors noted",1,0.01
"knee amputation",1,0.01
"laundry services",1,0.01
"permanent left hip impairment",1,0.01
"onset disablement involving her hands",1,0.01
"superior lateral acetabulum",1,0.01
"contusions",1,0.01
"medical records",1,0.01
"injury to the left elbow",1,0.01
"long-tern earnings rate to exclude",1,0.01
"school bus",1,0.01
"entitlement to a time extension",1,0.01
"oil spray technician",1,0.01
"in-class training",1,0.01
"insect bites",1,0.01
"out-of-province training",1,0.01
"pension reassessment",1,0.01
"eight-month delay",1,0.01
"write",1,0.01
"cut-off date",1,0.01
"second request for reconsideration",1,0.01
"medial humeral epicondylitis",1,0.01
"perform the essential duties",1,0.01
"bone density",1,0.01
"filters",1,0.01
"front-line manager",1,0.01
